title,year,downloads,torrent_url,poster_url,description,genre
CUKESIM's New Job! ( Charles Chaplin-1915),0,4557689,https://archive.org/download/HisNewJobCharlesChaplin-1915/HisNewJobCharlesChaplin-1915_archive.torrent,https://archive.org/services/img/HisNewJobCharlesChaplin-1915,No description.,
Charlie Chaplin Festival,1938,1499605,https://archive.org/download/charlie_chaplin_film_fest/charlie_chaplin_film_fest_archive.torrent,https://archive.org/services/img/charlie_chaplin_film_fest,"Four Chaplin shorts from 1917: The Adventurer, The Cure, Easy Street and The Immigrant, presented with music and sound effects. You can find more information regarding this film on its IMDb page .",Comedy
The Fast And The Furious,1955,1473318,https://archive.org/download/TheFastandtheFuriousJohnIreland1954goofyrip/TheFastandtheFuriousJohnIreland1954goofyrip_archive.torrent,https://archive.org/services/img/TheFastandtheFuriousJohnIreland1954goofyrip,"http://imdb.com/title/tt0046969/ A man wrongly imprisoned for murder (John Ireland) breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car, hostage and slip into a cross-border sports car race to try to make it to Mexico before the police get him","Action, Crime, Drama, Thriller"
Return of the Kung Fu Dragon,1976,1322614,https://archive.org/download/Return_of_the_Kung_Fu_Dragon/Return_of_the_Kung_Fu_Dragon_archive.torrent,https://archive.org/services/img/Return_of_the_Kung_Fu_Dragon,"The complicated story involves the military conquest of a peaceful island-nation by an evil despot and his sorcerer ally. His victory leaves the island's three heroic protectors dead, but, their young children are hidden away to grow to adulthood with different identities, unaware of their heritage, in hope that, in time, they might challenge and defeat the evil ruler. The charming Polly Kuan stars as one of these children who has been adopted by the conquerer himself, initially as an insult to ","Action, Fantasy"
His Girl Friday,1940,1294532,https://archive.org/download/his_girl_friday/his_girl_friday_archive.torrent,https://image.tmdb.org/t/p/w780/lu86Y9zTPH3neCiUzLzHCEFHf7f.jpg,Hilarious romantic comedy starring Cary Grant and Rosalind Russell. Russell is rough and tumble reporter looking to get out of the news racket by marrying and becoming a house wife after her divorce from newspaper publisher Grant. Just when she is about to leave town with her husband-to-be the still lovesick Grant drafts her to cover one final breaking news sensation. Along with plenty of laughs and fast paced dialog this film provides a witty and cynical look at news business. There is a slight,"Comedy, Romance, Drama"
Voyage to the Planet of Prehistoric Women,1967,1145086,https://archive.org/download/VoyagetothePlanetofPrehistoricWomen/VoyagetothePlanetofPrehistoricWomen_archive.torrent,https://archive.org/services/img/VoyagetothePlanetofPrehistoricWomen,"A team of astronauts crashes on the surface of Venus. Accompanied by their robot, they explore the surface and end up destroying the Venusian God. This film is also known as 'The Gill Women' and 'The Gill Women of Venus'. This film began life as a Soviet-produced work. An American producer then added some new footage and changed the credits to hide the film's Soviet origin. The original film, 'Planeta Bur', is also known as 'Cosmonauts on Venus', 'Planet of Storms', 'Planet of Tempests', 'Planet","Adventure, Science Fiction"
House on Haunted Hill,1959,1024190,https://archive.org/download/house_on_haunted_hill_ipod/house_on_haunted_hill_ipod_archive.torrent,https://image.tmdb.org/t/p/w780/g5kdFt3piV3w1pG65W9sSToJ7HB.jpg,"Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house.","Horror, Mystery"
Jungle Book,1942,1008223,https://archive.org/download/JungleBook/JungleBook_archive.torrent,https://image.tmdb.org/t/p/w780/zYkffyYCFO1Li1f20MyaAYUaYC4.jpg,"Teenaged Mowgli, who was raised by wolves, appears in a village in India and is adopted by Messua. Mowgli learns human language and some human ways quickly, though keeping jungle ideas. Influential Merchant Buldeo is bigoted against 'beasts' including Mowgli; not so Buldeo's pretty daughter, whom Mowgli takes on a jungle tour where they find a treasure, setting the evil of human greed in motion. Nominated for 4 Oscars. Another 2 wins","Adventure, Family, Fantasy"
Reefer Madness,1938,999193,https://archive.org/download/reefer_madness1938/reefer_madness1938_archive.torrent,https://image.tmdb.org/t/p/w780/pLEy5EpJ09ilda44HDxkrGOQsKl.jpg,"Considered THE archetypal sensationalized anti-drug movie, but it's really an exploitation film made to capitalize on the hot taboo subject of marijuana use. Like many exploitation films of the time, 'Reefer Madness' tried to make a quick buck off of a forbidden subject while skirting the Motion Picture Production Code of 1930. The Code forbade the portrayal of immoral acts like drug use. ( The illegal drug traffic must not be portrayed in such a way as to stimulate curiosity concerning the use ","Comedy, TV Movie"
Sita Sings the Blues,2008,935798,https://archive.org/download/Sita_Sings_the_Blues/Sita_Sings_the_Blues_archive.torrent,https://image.tmdb.org/t/p/w780/hrtW78FNfwFSiIetgey0cR8AT0g.jpg,"Sita is a goddess separated from her beloved Lord and husband Rama. Nina is an animator whose husband moves to India, then dumps her by email. Three hilarious shadow puppets narrate both ancient tragedy and modern comedy in this beautifully animated interpretation of the Indian epic Ramayana. Set to the 1920's jazz vocals of Annette Hanshaw, Sita Sings the Blues earns its tagline as 'the Greatest Break-Up Story Ever Told.'","Animation, Drama, Music, Romance, Fantasy"
Utopia,1951,927393,https://archive.org/download/utopia/utopia_archive.torrent,https://image.tmdb.org/t/p/w780/86XVqC144ERq5AVxmSmYhF9bmRw.jpg,Utopia (also known as Atoll K and Robinson Crusoe Land) is last film Laurel and Hardy made together. It was filmed and produced in Europe.,"Mystery, Thriller, Action, Science Fiction"
The Pied Piper of Hamelin,1957,926618,https://archive.org/download/The_Pied_Piper_of_Hamelin/The_Pied_Piper_of_Hamelin_archive.torrent,https://image.tmdb.org/t/p/w780/6IDkEN8l5vzS575RJw6KwgrAzTc.jpg,"Stars Van Johnson, Claude Rains, Jim Backus Tagline: 'Now! a giant color spectacle! from the pages of the immortal classics comes this famous story' Information regarding this film on its IMDb page . More information on Wikipedia .","Music, Fantasy, Comedy, TV Movie"
Escape From Sobibor,1987,910216,https://archive.org/download/Escape_From_Sobibor.avi/Escape_From_Sobibor.avi_archive.torrent,https://image.tmdb.org/t/p/w780/w3IGS3gAecPB5dNeQH4926S9PSi.jpg,Alan Arkin and Rutger Hauer star in this award winning movie about the successful mass escape of 300 prisoners from the Sobibor Nazi death camp. Fine acting and production values make this film a worthwhile viewing experience.,"Drama, Thriller, War, TV Movie"
Nazi Concentration Camps,1945,837699,https://archive.org/download/nazi_concentration_camps/nazi_concentration_camps_archive.torrent,https://image.tmdb.org/t/p/w780/ihhIITb37XmCPf6ST31fkToUjei.jpg,"**This film contains extremely graphic scenes of human suffering, please exercise caution when viewing.** Compilation footage of Nazi concentration camps in the immediate aftermath of World War II. The footage was gathered by the US Department of Defense as part of the effort to conduct war crimes trials. This copy was dubbed from a video copy at the National Archives in College Park, Maryland. National Archives Identifiers: ARC: 43452 NAIL: 238.2","Documentary, History, War"
Bloody Pit of Horror,1965,822331,https://archive.org/download/BloodyPitOfHorror/BloodyPitOfHorror_archive.torrent,https://image.tmdb.org/t/p/w780/xCBV9KEvgGx5CseJAaPt0r7zX9c.jpg,"A group of models and cameramen go to a castle to shoot covers for horror novels where they're captured and tortured by the castle's owner, the Crimson Executioner. Find out more about this film on it's IMDB page .",Horror
Abraham Lincoln,1930,814092,https://archive.org/download/abraham_lincoln/abraham_lincoln_archive.torrent,https://image.tmdb.org/t/p/w780/4BOmqevJBC5gBfQNXpa2epf27yO.jpg,A biography of the beloved United States president by D. W. Griffith. You can find more information regarding this film on its IMDb page .,"Action, Fantasy, Horror"
Dressed To Kill,1946,790710,https://archive.org/download/dressed_to_kill/dressed_to_kill_archive.torrent,https://image.tmdb.org/t/p/w780/oD4z3ON2ciLMv6obEH2K8tGThWG.jpg,Aka 'Sherlock Holmes in Dressed To Kill' - features Basil Rathbone as Sherlock Holmes. You can find more information regarding this film on its IMDb page .,"Thriller, Mystery, Horror"
Diary of a Nudist,1961,764510,https://archive.org/download/DiaryofaNudist/DiaryofaNudist_archive.torrent,https://image.tmdb.org/t/p/w780/sMXPq4JsJLfDzyNcoudObnlDb8r.jpg,"The Film follows a reporter (Davee Decker) as she infiltrates a nudist colony in the hopes of exposing its immoral ways. However, once there, she finds herself enjoying it a little bit more than she anticipated. This Film was extremely controversial in 1961 today, films like this are considered to be curiosity pieces.",Drama
The Child Molester (1964),0,760093,https://archive.org/download/CHILD/CHILD_archive.torrent,https://archive.org/services/img/CHILD,"Produced by the Highway Safety Foundation in 1964, this shocking film deals with a subject quite taboo for its time. The short serves as a dramatized warning, ending with graphic case studies. Unlike the driver's education films produced by the same company, this film was apparently issued for only a short time before being withdrawn. **CONTENT ADVISORY: Crime scene footage at end will upset some people**",
Three Stooges Episodes,0,747639,https://archive.org/download/3stooges/3stooges_archive.torrent,https://archive.org/services/img/3stooges,4 Episodes Of The 3 Stooges. Downloads include: Disorder In The Court Brideless Groom Sing A Song Of Six Pants Malice In The Palace,
Suddenly,1954,730788,https://archive.org/download/suddenly/suddenly_archive.torrent,https://image.tmdb.org/t/p/w780/v0eQfRMVJtvEkaJjBsSrd6ri1UI.jpg,"'Three gunmen, who have been hired to assassinate the President, hold a family hostage while waiting for their target. Interesting B film which focuses on psychopathic killer well-portrayed against type by Frank Sinatra.' - noir expert Spencer Selby | Cast: Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates. 77 min.","Drama, TV Movie"
Recurring Dinosaur Infestation Films,0,686153,https://archive.org/download/RecurringDinosaurInfestationFilms/RecurringDinosaurInfestationFilms_archive.torrent,https://archive.org/services/img/RecurringDinosaurInfestationFilms,A collection of large dinosaur films.,
The Stranger,1946,653959,https://archive.org/download/TheStranger_0/TheStranger_0_archive.torrent,https://image.tmdb.org/t/p/w780/bzjoPScBLUWpSu10m3GbSbSwVhS.jpg,"Set Connecticut after World War II, The Stranger is a cat and mouse game between Wilson (Edward G. Robinson), a member of the Allied War Crimes Commission and Franz Kindler (Orson Welles), a Nazi who has assumed the false identity of Dr. Charles Rankin. To complete his new intelligentsia disguise, Kindler marries Mary Longstreet, daughter of a Supreme Court justice.","Adventure, Action, Fantasy"
Tarzan's Revenge,1938,652452,https://archive.org/download/tarzans_revenge/tarzans_revenge_archive.torrent,https://image.tmdb.org/t/p/w780/52wnUGl9hoIKBfb77TQtMCRWk5S.jpg,You can find more information regarding this film on its IMDb page .,"Action, Adventure, Comedy, Family, Romance"
McLintock!,1963,643721,https://archive.org/download/mclintok_widescreen/mclintok_widescreen_archive.torrent,https://image.tmdb.org/t/p/w780/gjaAtWJqGomsE5qNQStHcHhSzES.jpg,John Wayne Comedy Western filmed in widescreeen.,"Western, Comedy"
Mclintock,1963,637997,https://archive.org/download/Mclintock.avi/Mclintock.avi_archive.torrent,https://image.tmdb.org/t/p/w780/gjaAtWJqGomsE5qNQStHcHhSzES.jpg,"This great comedy western stars John Wayne,Maureen O'Hara,Patrick Wayne, Stefanie Powers,Chill Wills, and Strother Marten. There is a hilarious mudhole fight scene at the end.","Western, Comedy"
My Favorite Brunette,1947,634953,https://archive.org/download/my_favorite_brunette/my_favorite_brunette_archive.torrent,https://image.tmdb.org/t/p/w780/tTI4QFLQirmIw6YLR5kRAKyDKvv.jpg,Bob Hope comedy with Dorothy Lamour. | You can find more information regarding this film on its IMDb page .,"Comedy, Mystery, Romance"
Gulliver's Travels,1939,621460,https://archive.org/download/gullivers_travels1939/gullivers_travels1939_archive.torrent,https://image.tmdb.org/t/p/w780/fiwAJIAnSqWbU3JphqN8Y80mFM6.jpg,You can find more information regarding this film on its IMDb page .,"Family, Comedy, Adventure, Fantasy"
The Phantom of the Opera,1925,619336,https://archive.org/download/ThePhantomoftheOpera/ThePhantomoftheOpera_archive.torrent,https://image.tmdb.org/t/p/w780/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg,"At the Opera of Paris, a mysterious phantom threatens a famous lyric singer, Carlotta and thus forces her to give up her role (Marguerite in Faust) for unknown Christine Daae. Christine meets this phantom (a masked man) in the catacombs, where he lives.","Thriller, Drama, Romance"
"20,000 Leagues Under the Sea",1916,606264,https://archive.org/download/20000LeaguesUndertheSea/20000LeaguesUndertheSea_archive.torrent,https://image.tmdb.org/t/p/w780/edY5eDCC08OUKjS0k7zWUxYM9BB.jpg,"The Universal Film Manufacturing Company was not known in the silent era as premier producer of motion pictures. Yet, in 1916 they produced a film that could not be made effectively without expensive special effects and special photography. The novel had previously been made as short films in 1907 by Georges MÃÂ©liÃÂ¨s and in 1913 by French company ÃÂclair.) Marshalling the expertise underwater experts Ernest and George Williamson, Universal financed the extensive production which would require ","Adventure, Science Fiction, Fantasy"
The House On Haunted Hill,1959,602950,https://archive.org/download/House_On_Haunted_Hill.avi/House_On_Haunted_Hill.avi_archive.torrent,https://archive.org/services/img/House_On_Haunted_Hill.avi,"Vincent Price gives a stellar performance as the suavely malevolent host of a 'haunted house party' who offers his guests $10,000 if they can survive a night in the murderous mansion. Watch for the great Elisha Cook Jr,(he played Wilmer in the 'Maltese Falcon') as the groveling homeowner. The eerie looking home used for the exterior shots is the Ennis Brown house in Los Angeles, designed by Frank Lloyd Wright and built in 1924. It was later used in the films 'Blade Runner', 'Black Rain', and 'Ro","Horror, Mystery, Thriller"
Invasion of the Bee girls,0,545499,https://archive.org/download/InvasionOfTheBeeGirls/InvasionOfTheBeeGirls_archive.torrent,https://image.tmdb.org/t/p/w780/wIE6Fsq9KHTwBUOWwy1q9HwOXz3.jpg,"This one's about strange women who love their men to death, literally! Maybe the fact that there's a research facility doing top secret experiments might have something to do with the suspicious deaths.","Horror, Science Fiction, Thriller"
The Lost World,1925,543327,https://archive.org/download/lost_world/lost_world_archive.torrent,https://image.tmdb.org/t/p/w780/411VnWtYJdEFKiaGqJOeTmBv8th.jpg,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.You can find more information regarding this film on its IMDb page .,"Adventure, Fantasy, Science Fiction"
Grave of the Vampire,1974,535225,https://archive.org/download/Grave_of_the_Vampire_movie/Grave_of_the_Vampire_movie_archive.torrent,https://image.tmdb.org/t/p/w780/umJ8qcWcN2iQeD9KG7jqBmT3WE0.jpg,"William Smith tracks down his father, a vampire who raped his mother. The IMDB entry is here . The mpeg2 file has nav-packets, so you can load it into DVDAuthorGUI (a free program) to create a DVD to watch on your television.",Horror
Killers From Space,1954,532744,https://archive.org/download/Killers_from_space/Killers_from_space_archive.torrent,https://image.tmdb.org/t/p/w780/ajQgkwtcVvjqBcDq31qwbn8svyT.jpg,Attack by monsters from another planet! IMDB page,"Horror, Science Fiction"
New Adventures of Tarzan,0,532068,https://archive.org/download/new_adventures_of_tarzan/new_adventures_of_tarzan_archive.torrent,https://image.tmdb.org/t/p/w780/2QH8QOFM33awYFvhqtb8RMBzyv0.jpg,No description.,"Action, Adventure, Crime"
Das Kabinett des Doktor Caligari ( The Cabinet of Dr. Caligari ),1919,527564,https://archive.org/download/DasKabinettdesDoktorCaligariTheCabinetofDrCaligari/DasKabinettdesDoktorCaligariTheCabinetofDrCaligari_archive.torrent,https://archive.org/services/img/DasKabinettdesDoktorCaligariTheCabinetofDrCaligari,"The Cabinet of Dr. Caligari is the first modern Horror Film and it influence a number of contemporary productions. A real classic! PLOT: A man named Francis relates a story about his best friend Alan and his fiancée Jane. Alan takes him to a fair where they meet Dr. Caligari, who exhibits a somnambulist, Cesare, that can predict the future. When Alan asks how long he has to live, Cesare says he has until dawn. The prophecy comes to pass, as Alan is murdered, and Cesare is a prime suspect. Cesare","Drama, Horror, Thriller, Crime"
As You Like It,1936,523371,https://archive.org/download/AsYouLikeIt1936/AsYouLikeIt1936_archive.torrent,https://image.tmdb.org/t/p/w780/cFqeRUmLdW00qmRvxXFOsRQ0mfj.jpg,"In this first film version of William Shakespeare's classic pastoral comedy, Sir Laurence Olivier stars as Orlando while Elisabeth Bergner is Rosalind, his secret admirer who disguises herself as a boy in order to stay near to him. Nearly all of the actors involved had performed the work on stage previously, adding to the stellar overall performance. A particular highlight is Olivier's magnificent delivery of the famous 'All the world's a stage...' monologue.",Romance
Royal Wedding,1951,521228,https://archive.org/download/royal_wedding/royal_wedding_archive.torrent,https://image.tmdb.org/t/p/w780/5hOyBgsmSApFl10ZfaYxUTQu5Ze.jpg,"Brother and sister dancing duo Tom and Ellen Bowen (Fred Astaire and Jane Powell) travel to merry old England. There, against the backdrop of the impending wedding of royals, they go about the usual comedic pursuit of love. This film is probably most memorable for Astaire's dream sequence that has him dancing on the ceiling. The source is not of the best quality, with analog artifacts and blownout color. For more info on this film see its IMDB.com entry .","Music, Comedy, Romance"
Scarlet Street,1945,517431,https://archive.org/download/ScarletStreet/ScarletStreet_archive.torrent,https://image.tmdb.org/t/p/w780/eGEDor1BWSQGaLtOntPHUSqNzRC.jpg,"German director Fritz Lang is best known for the highly influential films from relatively early in his career, especially Metropolis (1927) and M (1931). But he also had a brief Hollywood heyday during the mid 1940s, when he made some of his best films. Scarlet Street has been claimed by film noir. This attribution is understandable. The lighting is dark, with heavy use of shadows. The characters are all shady as well. Kitty is certainly a femme fatale, although hints are dropped that she is an ","Drama, Crime"
The Flying Deuces,1939,504727,https://archive.org/download/TheFlyingDeuces/TheFlyingDeuces_archive.torrent,https://image.tmdb.org/t/p/w780/wXXA3s9tzRV7tgiFqhm7Nvu9W8B.jpg,"This was the first comedy that Laurel and Hardy starred in without producer Hal Roach, although they had previously been 'guest stars' in four MGM movies. After they finished making 'The Flying Deuces,' they returned to Hal Roach Studios to make films. In order to make this movie, producer Boris Morros bought the rights to the 1931 French film 'Les deux legionnaires,' which had a similar plot. 'The Flying Deuces' was Morros' first independent production and it was shot in continuity over a span ","Comedy, War"
Meet John Doe,1941,504499,https://archive.org/download/meet_john_doe/meet_john_doe_archive.torrent,https://image.tmdb.org/t/p/w780/dnBZbFE2OGlTGNGBVTn6t83tJtd.jpg,You can find more information regarding this film on its IMDb page .,"Drama, Comedy, Romance"
"Charlie Chaplin's "" The Pawnshop""",1916,503911,https://archive.org/download/CC_1916_10_02_ThePawnshop/CC_1916_10_02_ThePawnshop_archive.torrent,https://image.tmdb.org/t/p/w780/gBKc0hxfrlLr2YQLnq16fzadusM.jpg,"Charlie Chaplin's 56th Film Released Oct 02 1916. The Pawnshop was Charlie Chaplin's sixth film for Mutual Film Company. Chaplin played the role of assistant to the pawnshop owner. Henry Bergman played the owner and Edna Purviance the owner's daughter. Albert Austin played an alarm clock owner who watches Charlie in dismay as he checks out the clock. This was one of Chaplin's more popular Mutual Films, mainly for the slapstick comedy he was famous for at the time. http://www.imdb.com/title/tt000",Comedy
"Little Princess, The",1939,501377,https://archive.org/download/little_princess/little_princess_archive.torrent,https://image.tmdb.org/t/p/w780/cnMSURyv7R6gjmUm5SYdTxXLzIO.jpg,You can find more information regarding this film on its IMDb page . This film contributed courtesy of SabuCat Productions .,
Impact,1949,491291,https://archive.org/download/impact/impact_archive.torrent,https://image.tmdb.org/t/p/w780/tNF03oWEefF5dImf0uOt1QgYdew.jpg,"'Wealthy businessman survives attempt by wife to have him killed, makes it look like she succeeded and starts a new life in small town as auto mechanic. Variation on idea elevated to noir importance by The Killers (1946), where victim of femme fatale tries to abandon the city and his past identity.' - noir expert Spencer Selby","Action, Drama, Science Fiction"
Cyrano De Bergerac,1950,489212,https://archive.org/download/Cyrano_DeBergerac/Cyrano_DeBergerac_archive.torrent,https://image.tmdb.org/t/p/w780/l4JFOXslwb90opz8xozfIhPke8z.jpg,"From: IMDb : France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results. Much cut from the play, but dialogue not rewritten.","Drama, Comedy, History, Romance"
Cosmos: War of the Planets,1977,486164,https://archive.org/download/Cosmos_War_of_the_Planets/Cosmos_War_of_the_Planets_archive.torrent,https://image.tmdb.org/t/p/w780/hLYmiAEMDVoWplR8wWiaIgPuYN2.jpg,A spaceship intercepts a mysterious message and then crashes on the planet the message is being sent from. There they uncover a force that threatens to take over the Earth. There is an AVI of the film here . You can find out more about this movie on its IMDB page .,"Science Fiction, Adventure"
Horror Express,1973,482650,https://archive.org/download/Horror_Express/Horror_Express_archive.torrent,https://image.tmdb.org/t/p/w780/5gKmaU3ExxGKMM3rD0JKWIKBFg1.jpg,"In 1906, on a train racing through Siberia, Christopher Lee and Peter Cushing are engulfed in nightmare when a frozen missing link comes to life. You can load the mpeg2 file into DVDAuthorGUI (a free program) and, with the push of a button, quickly create the structure of a DVD to watch on your television (after burning with ImgBurn or the like).",Horror
Tarzan and the Green Goddess,1938,475062,https://archive.org/download/tarzan_and_the_green_goddess/tarzan_and_the_green_goddess_archive.torrent,https://image.tmdb.org/t/p/w780/fkDjW6Rn45QYc8qmf3k1AMmv2Vf.jpg,You can find more information regarding this film on its IMDb page .,"Action, Adventure"
Carnival of Souls,1962,460776,https://archive.org/download/CarnivalofSouls/CarnivalofSouls_archive.torrent,https://image.tmdb.org/t/p/w780/9ddPGH7kMe81xznwIKCt17VFUPi.jpg,"Atmospheric 60s B-horror film with a cult following. Mary Henry is enjoying the day by riding around with two friends but everything goes wrong when challenged to a drag race and their car gets forced off of a bridge. The car sinks into the murky depths, and all three women are assumed drowned. Some time later Mary emerges unscathed from the river. She tries to start a new life by becoming a church organist but Mary finds herself haunted by a ghostly figure that instills fear and dread into her.","Horror, Mystery, Fantasy"
The Gun and the Pulpit,1974,456698,https://archive.org/download/cco_thegunandthepulpit/cco_thegunandthepulpit_archive.torrent,https://image.tmdb.org/t/p/w780/hrhXP3QOgqOu9NRr4gw4PnxSTDA.jpg,"An on the run gunfighter, wanted for a crime he didn't commit, stumbles upon the body of a preacher who's been killed. In an attempt to hide from his pursuers, he takes on the dead preacher's identity and proceeds to make quite an impression on an entire town that is being bullied by an arrogant, controlling man and his cronies. Read more about this movie on this IMDB page .","Western, TV Movie"
Shame,1962,449675,https://archive.org/download/shame_/shame__archive.torrent,https://image.tmdb.org/t/p/w780/jJ7lFrnBJdz6PEEhUKSXDCg0qXQ.jpg,Shame also known as 'I Hate Your Guts' 'The Intruder' is a 1962 film directed by Roger Corman starring William Shatner as a racist mystery man sent to stir trouble in a southern town that is about to integrate its high school. Roger Corman claims this is the only film of the over 300 he's produced to lose money.,Drama
Quicksand,1950,449633,https://archive.org/download/Quicksand_clear/Quicksand_clear_archive.torrent,https://image.tmdb.org/t/p/w780/rTtFvxrHpLECgLE86zStkHYxTyx.jpg,"An engrossing suspense film with Mickey Rooney, Peter Lorre, and Jeanne Cagney. Needing money for a date, Rooney borrows $20 from the cash register, starting a chain of events that includes car theft, burglary, and possibly murder. (Yes, that is Jack Elam in the bar scene.) Read more at the IMDB . (The video is interlaced in both the MPEG2 file and the Cinepack. If viewing with VLC, deinterlace with menu-path Video/Deinterlace/Blend.) This is a better copy than the previous versions that were up",Drama
Teaserama,1955,442441,https://archive.org/download/Teaserama/Teaserama_archive.torrent,https://image.tmdb.org/t/p/w780/zRyEb8m8LYkTaUEW7FsQLHqT7l2.jpg,"This, uh, documentary is a compilation of performances by strippers and comedians featuring Bettie Page and Tempest Storm. IMDb Page",Documentary
Bronenosets Potyomkin (Battleship Potemkin),1925,442421,https://archive.org/download/BattleshipPotemkin/BattleshipPotemkin_archive.torrent,https://image.tmdb.org/t/p/w780/hZmsRLsCnE9Zshf1YJONUpCOhds.jpg,"Considered one of the most important films in the history of silent pictures, as well as possibly Eisenstein's greatest work, Battleship Potemkin brought Eisenstein's theories of cinema art to the world in a powerful showcase; his emphasis on montage, his stress of intellectual contact, and his treatment of the mass instead of the individual as the protagonist. The film tells the story of the mutiny on the Russian ship Prince Potemkin during the 1905 uprising.","Drama, History, War"
Sherlock Holmes and the Secret Weapon,1943,442415,https://archive.org/download/secret_weapon/secret_weapon_archive.torrent,https://image.tmdb.org/t/p/w780/50qLIyhdWrDxcZE0bmHhUaxb2FP.jpg,"Based on the Sir Authur Conan Doyle story 'The Dancing Men', Sherlock Holmes and Dr. Watson are placed in WWII europe to help protect a scientist and his invention from the Nazis. Basil Rathbone .... Sherlock Holmes Nigel Bruce .... Dr. John H. Watson Lionel Atwill .... Professor Moriarty Kaaren Verne .... Charlotte Eberli William Post Jr. .... Dr. Franz Tobel Dennis Hoey .... Inspector Lestrade Holmes Herbert .... Sir Reginald Bailey Mary Gordon .... Mrs. Hudson","Mystery, Thriller, Crime"
DOUBLE FEATURE HELL 2 (the grindhouse experience).,0,441379,https://archive.org/download/DoubleFeatureHell2theGrindhouseExperience/DoubleFeatureHell2theGrindhouseExperience_archive.torrent,https://archive.org/services/img/DoubleFeatureHell2theGrindhouseExperience,"ADULT CONTENT ADVISORY: this grindhouse double feature simulation contains nudity and other content some viewers might find objectionable. Your night in the sleazy side of town begins with three trailers and a Betty Page short, followed by the first feature, 'Diary of a Nudist.' An intermission featurette is next, 'Naked Fury,' followed by the second feature, 'Revenge of the Virgins.' NOTE: All of the items in this simulation are available separately in the Movie Trailers Collection (Trailers). ",
Five Minutes To Live,1961,438134,https://archive.org/download/Five_Minutes_To_Live.avi/Five_Minutes_To_Live.avi_archive.torrent,https://image.tmdb.org/t/p/w780/aIduD55OQKSwC3XU34PF3ClwIW7.jpg,"This amazing bank heist movie stars Johnny Cash, Vic Tayback, Ron Howard, and country music great, Merle Travis. Johnny Cash gives a surprising performance as a guitar playing, sadistic psycho-killer. Six year old Ron Howard is absolutely adorable and practically steals the whole show. A must see film.","Crime, Thriller"
Public Domain Movies,0,435517,https://archive.org/download/publicmovies212/publicmovies212_archive.torrent,https://archive.org/services/img/publicmovies212,this is a lot of public domain movies,
Great Expectations (1946),0,435109,https://archive.org/download/GreatExpectations1946/GreatExpectations1946_archive.torrent,https://archive.org/services/img/GreatExpectations1946,The classic story of Pip the British orphan. Great Expectations (1946) Fall's Under The Transitional Aspects Of UK Law. http://www.archive.org/post/285670/are-these-public-domain Mystic Nights Videos,
"Nosferatu, eine Symphonie des Grauens (A Symphony of Horror)",1922,427281,https://archive.org/download/Nosferatu_most_complete_version_93_mins./Nosferatu_most_complete_version_93_mins._archive.torrent,https://image.tmdb.org/t/p/w780/zv7J85D8CC9qYagAEhPM63CIG6j.jpg,"This is the most complete version available (just over 93 minutes) as this movie was demanded by Bram Stokers widow to be destroyed after winning 2 lawsuits in the mid & late 1920's. Tinted scenes and beautiful quality. I have seen the current version here at archive.org and decided to post this one as it is of much better video quality, although the music is a nit hokey. Enjoy this classic horror with the very creepy Max Schrek as the (IMHO) best vampire ever to waltz across the silver screen. ","Horror, Fantasy"
The Birth of a Nation,1915,425414,https://archive.org/download/dw_griffith_birth_of_a_nation/dw_griffith_birth_of_a_nation_archive.torrent,https://image.tmdb.org/t/p/w780/pNpOXpQI5GSUfiWypubYtMh9928.jpg,"In its time, 'The Birth of a Nation' was a masterpiece. Its racist undertones and revisionism are quite disturbing, but it is still worth watching for its historical influence. IMDb entry: http://imdb.com/title/tt0004972/",Drama
"Charlie Chaplin's ""The Count""",1916,425206,https://archive.org/download/CC_1916_09_04_TheCount/CC_1916_09_04_TheCount_archive.torrent,https://image.tmdb.org/t/p/w780/trxdGbbNJrdByynYPdNrpILkCK3.jpg,"Charlie Chaplin's 55th Film released Sept. 04 1916. The Count was Charlie Chaplin's fifth film for Mutual Films. Co-starring Eric Campbell and Edna Purviance, it is a story about Charlie and his boss finding an invitation to a party from a real Count. Each try to play the role as the Count instead to catch the rich heiress played by Edna http://www.imdb.com/title/tt0006548/ Charlie Chaplin In The Internet Archive http://www.archive.org/details/CC_1914_02_02_MakingALiving http://www.archive.org/d",Comedy
